id,code,name
hr_ocupacion_9312002,9312002,Ayudante de mantenimiento de carreteras
hr_ocupacion_9329011,9329011,Ayudante de mecánico
hr_ocupacion_5131001,5131001,Ayudante de mesero
hr_ocupacion_9311002,9311002,Ayudante de minas
hr_ocupacion_9329010,9329010,Ayudante de montaje manual
hr_ocupacion_9312001,9312001,Ayudante de obras públicas
hr_ocupacion_9216001,9216001,Ayudante de pesca y acuicultura
hr_ocupacion_6123004,6123004,Ayudante de sericultura
hr_ocupacion_9312004,9312004,Ayudante de topógrafo
hr_ocupacion_5164001,5164001,Ayudante de veterinario
hr_ocupacion_9215001,9215001,Ayudante forestal
hr_ocupacion_2653001,2653001,Bailarín
hr_ocupacion_2653002,2653002,Bailarín de cabaret
hr_ocupacion_9312005,9312005,Banderista (señalización de obras)
hr_ocupacion_5141001,5141001,Barbero
hr_ocupacion_7132001,7132001,Barnizador de muebles de madera
hr_ocupacion_7132002,7132002,Barnizador de muebles de metal
hr_ocupacion_9613001,9613001,Barrendero
hr_ocupacion_7212002,7212002,Barrenero de minas
hr_ocupacion_5132001,5132001,Bartender
hr_ocupacion_2622001,2622001,Bibliotecario
hr_ocupacion_2131001,2131001,Biólogo
hr_ocupacion_3141003,3141003,Bioquímico
hr_ocupacion_4321002,4321002,Bodeguero de restaurante
hr_ocupacion_5411001,5411001,Bombero
hr_ocupacion_7533003,7533003,Bordador
hr_ocupacion_2131002,2131002,Botánico
hr_ocupacion_9112001,9112001,Botones de hotel
hr_ocupacion_7224005,7224005,Bruñidor
hr_ocupacion_7541001,7541001,Buzo soldador
hr_ocupacion_4211005,4211005,Cajero de banco
hr_ocupacion_4211006,4211006,Cajero de restaurante
hr_ocupacion_4211003,4211003,Cajero en general
hr_ocupacion_5230001,5230001,Cajero y expendedor de billetes
hr_ocupacion_3112002,3112002,Calculista de construcción
hr_ocupacion_7213004,7213004,Calderero
hr_ocupacion_9311005,9311005,Calero
hr_ocupacion_7223001,7223001,Calibrador de instrumentos de precisión mecánica
hr_ocupacion_9112005,9112005,Camarera de hotel
hr_ocupacion_5111002,5111002,Camarero de bus
hr_ocupacion_3521002,3521002,Camarógrafo
hr_ocupacion_2652009,2652009,Cantante
hr_ocupacion_2652010,2652010,Cantautor
hr_ocupacion_7113001,7113001,Cantero tallador
hr_ocupacion_2352005,2352005,Capacitador a nivel administrativo
hr_ocupacion_2352007,2352007,Capacitador a nivel de desarrollo humano
hr_ocupacion_2352004,2352004,Capacitador a nivel de mercadeo y ventas
hr_ocupacion_2352006,2352006,Capacitador a nivel medio ambiental
hr_ocupacion_2424001,2424001,Capacitador de personal
hr_ocupacion_8342001,8342001,Capataz de máquina de movimiento de tierras y afines
hr_ocupacion_8343001,8343001,Capataz de Operador  de grúas y aparatos elevadores
hr_ocupacion_8131010,8131010,"Capataz de Operador de instalaciones quebrantadoras, trituradoras y mezcladoras de sustancias químicas"
hr_ocupacion_3152001,3152001,Capitán de cubierta
hr_ocupacion_5131004,5131004,Capitan de meseros
hr_ocupacion_3152005,3152005,Capitán de puerto
hr_ocupacion_6210002,6210002,Carbonero de carbón vegetal
hr_ocupacion_2636001,2636001,Cardenal
hr_ocupacion_2659005,2659005,Caricaturista
hr_ocupacion_7511001,7511001,Carnicero
hr_ocupacion_7115003,7115003,Carpintero
hr_ocupacion_7115004,7115004,Carpintero de armado
hr_ocupacion_7115002,7115002,Carpintero de artezón
hr_ocupacion_4412001,4412001,Cartero
hr_ocupacion_2165001,2165001,Cartógrafo
hr_ocupacion_7515001,7515001,Catador de café
hr_ocupacion_7515002,7515002,Catador de vinos
hr_ocupacion_9331002,9331002,Cayuquero
hr_ocupacion_6224001,6224001,Cazador o trampero
hr_ocupacion_5311002,5311002,Celadora infantil
hr_ocupacion_7314002,7314002,Ceramista
hr_ocupacion_7222001,7222001,Cerrajero
hr_ocupacion_7317001,7317001,Cestero
hr_ocupacion_7317002,7317002,Cestero de muebles de mimbre
hr_ocupacion_4412002,4412002,Clasificador de correspondencia
hr_ocupacion_9612001,9612001,Clasificador de desechos
hr_ocupacion_7514004,7514004,Clasificador de frutas y verduras
hr_ocupacion_7543001,7543001,Clasificador y probador de productos (excluyendo alimentos y bebidas)
hr_ocupacion_4214001,4214001,Cobrador a pie
hr_ocupacion_5112002,5112002,Cobrador de ticket de transporte
hr_ocupacion_4214002,4214002,Cobrador en moto
hr_ocupacion_4214004,4214004,Cobrador por teléfono
hr_ocupacion_5120001,5120001,Cocinero
hr_ocupacion_3434004,3434004,Cocinero  doméstico
hr_ocupacion_3434002,3434002,Cocinero de alta cocina
hr_ocupacion_3434006,3434006,Cocinero de catering
